Program Name,Project Year,Account Number,Account Name,Ticker,ISIN,GICS_sector,GICS_Industry_Group,GICS_Industry,GICS_Sub_Industry,Activities,Sectors,Industries,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,
Climate Change,2015,1951,Boardwalk REIT,BEI-U CN,CA0966311064,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,362,AFLAC Incorporated,AFL US,US0010551028,Financials,Insurance,Insurance,Life & Health Insurance,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,435,"Air Products & Chemicals, Inc.",APD US,US0091581068,Materials,Materials,Chemicals,Industrial Gases,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,511,Alcoa Corp.,AA US,US0138171014,Materials,Materials,Metals & Mining,Aluminum,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,628,"Altria Group, Inc.",MO US,US02209S1033,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,661,Ameren Corporation,AEE US,US0236081024,Utilities,Utilities,Multi-Utilities,Multi-Utilities,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,345,Agrium Inc.,AGU CN,CA0089161081,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,524,Algonquin Power & Utilities Corporation,AQN CN,CA0158571053,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,533,Allergan plc,AGN UN,IE00BY9D5467,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,535,Allete Inc.,ALE US,US0185223007,Utilities,Utilities,Electric Utilities,Electric Utilities,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,586,Alliant Energy Corporation,LNT US,US0188021085,Utilities,Utilities,Electric Utilities,Electric Utilities,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,660,American Airlines Group Inc,AAL US,US02376R1023,Industrials,Transportation,Airlines,Airlines,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,2017,Boeing Company,BA US,US0970231058,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,64,Abbott Laboratories,ABT US,US0028241000,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,35762,Actiontec Electronics,7580836Z US,,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,334,"Advanced Micro Devices, Inc",AMD US,US0079031078,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,2326,BROADRIDGE FINANCIAL SOLUTIONS INC,BR US,US11133T1034,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,2330,Brookfield Asset Management Inc.,BAM/A CN,CA1125851040,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,2354,Brown-Forman Corporation,BF/B US,US1156372096,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,1087,"Assurant, Inc.",AIZ US,US04621X1081,Financials,Insurance,Insurance,Multi-line Insurance,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5021,DTE Energy Company,DTE US,US2333311072,Utilities,Utilities,Multi-Utilities,Multi-Utilities,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5194,Eaton Corporation,ETN US,IE00B8KQN827,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,582,Allstate Insurance Company,ALL US,US0200021014,Financials,Insurance,Insurance,Property & Casualty Insurance,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,635,Programmable Solutions Group (PSG),ALTR US,US0214411003,Information Technology,Software & Services,Software,Application Software,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,689,"American Electric Power Company, Inc.",AEP US,US0255371017,Utilities,Utilities,Electric Utilities,Electric Utilities,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,32490,American Water Works,AWK US,US0304201033,Utilities,Utilities,Water Utilities,Water Utilities,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,44672,Amtrak,5330Z US,,Industrials,Transportation,Road & Rail,Railroads,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,745,Anadarko Petroleum Corporation,APC US,US0325111070,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5395,EMC Corporation,EMC US,US2686481027,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5521,Emerson Electric Co.,EMR US,US2910111044,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5581,Enbridge Inc.,ENB CN,CA29250N1050,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5569,Encana Corporation,ECA CN,CA2925051047,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,40269,Energen Corp.,EGN US,US29265N1081,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5624,Enerplus Corporation,ERF CN,CA2927661025,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5767,"EOG Resources, Inc.",EOG US,US26875P1012,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,1464,BNY Mellon,BK US,US0640581007,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,2191,Bristol-Myers Squibb,BMY US,US1101221083,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,865,Apple Inc.,AAPL US,US0378331005,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5115,E.I. du Pont de Nemours and Company,DD US,US2635341090,Materials,Materials,Chemicals,Diversified Chemicals,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,5154,Ecolab Inc.,ECL US,US2788651006,Materials,Materials,Chemicals,Specialty Chemicals,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,37523,"Ecova, Inc.",0026949D US,,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,1941,Bonavista Energy Corporation,BNP CN,CA09784Y1088,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,2055,BorgWarner,BWA US,US0997241064,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
Climate Change,2015,692,American Express,AXP US,US0258161092,Financials,Diversified Financials,Consumer Finance,Consumer Finance,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR,VALUES NOT REPORTED FOR THIS YEAR
