City full name,City short name,Country,Region,Population year,Population,CDP reporting year,Access,Scale,Energy types covered by target, Base year,Base year total renewable energy covered by target (in unit specified in column 2),Base year percentage renewable energy of total energy or electricity,Target year,Target year total renewable energy covered by target (in unit specified in column 2),Target year percentage renewable energy of total energy,Plans to meet target (include details on types of energy),City location,Water 2014 - Number of drivers
"City of Arlington, VA","Arlington, VA",USA,North America,2015,216700,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2007,0,0,2050,160,15,"Presumption is all 160 MW will be solar photovoltaic. To be achieved throughpromotion, incentives, removal of state regulatory barriers toPV deployment, and use of advanced technologies (e.g.buildingintegratedPV including vertical panels).","(37.226486, -76.002594)",
City of Copenhagen,Copenhagen,Denmark,Europe,2015,591481,2017,Public,City-wide,Renewable energy,,,,2025,,100,CPH Climate Plan; Combined heat and power plants 100 % biomass.,"(55.6760968, 12.5683371)",
City of Porto,Porto,Portugal,Europe,2011,238954,2017,Public,City-wide,All renewable energy produced (in MWh),2004,40,,2020,,25,Using solar thermal panels for water heating purpuses. These colectors are private houses and social housing.,"(41.1579438, -8.6291053)",63
Incheon Metropolitan City,Incheon ,South Korea,East Asia,2015,2983484,2016,Public,City-wide,Renewable energy,,,,2025,1017,1.18,"Solar 2,000MW300MW geothermalSolar 200MWFuel cell 1,000MWBio / Waste 1,000MW","(37.456256, 126.705206)",
City of Helsinki,Helsinki,Finland,Europe,2014,612664,2017,Public,City-wide,All renewable energy produced (in MWh),1990,,,2020,,20,Helen ltd. development plan,"(60.1733244, 24.9410248)",
City of Boulder,Boulder,USA,North America,2015,104810,2017,Public,City-wide,All renewable energy consumed (in MWh),2005,,15,2030,100,100,"In addition to producing electricity from renewable sources such as solar and wind, we will greatly reduce our use of natural gas and petroleum. The majority of residents and businesses will be able to participate in the production of this clean electricity and share in the resulting prosperity, well-being and resilience of Boulder. By cleaning our energy system, we will reduce community emissions by 43 percent by the year 2050. Boulder will meet the target through it's efforts to municipalize it's electric utility, pursue a partnership with its incumbent provider, or through enabling state policy.","(40.0274, -105.2519)",46
Moscow Government,Moscow ,Russia,Europe,2015,12197596,2016,Public,City-wide,Renewable energy,,,,2020,,4,"Biogas CHP and heating, solar water heating, solar PV, small wind turbines","(55.755826, 37.6173)",16
Taipei City Government,Taipei City,Taiwan,East Asia,2015,2704810,2016,Public,City-wide,Renewable electricity,,,,2016,209347,2,1.Hydro2.Landfill gas to generate electricity3.solar,"(25.037525, 121.563782)",
City of Shenzhen,Shenzhen,China,East Asia,2014,10648900,2017,Public,Not reported,,2015,,50,2020,,60,,"(22.917478, 113.813461)",
City of Wroclaw,City of Wroclaw,Poland,Europe,2014,634487,2016,Public,City-wide,Renewable energy,,,,2020,688,15,,"(51.107885, 17.038538)",29
City of Oslo,Oslo,Norway,Europe,2016,658390,2016,Public,City-wide,Renewable energy,,,,2030,150,,150 MW installed capacity of solar by 2030. Now we have a support scheme and we are also developing a map to show the potential for solar on the buildings of Oslo.,"(59.9138688, 10.7522454)",13
Greater Manchester,Manchester,United Kingdom,Europe,2014,2762000,2016,Public,City-wide,Renewable energy,,,,2020,4,,See section 6 for detailed plans. National grid allocations model does not support local proportion disclosures.,"(53.4575955, -2.1578377)",
City of Lakewood,Lakewood,USA,North America,2014,149643,2017,Public,City-wide,All renewable energy consumed (in MWh),2010,,13,2025,,45,"Lakewood Sustainability Plan, Strategy BE1-A, pg. 37.","(39.7047, -105.0814)",46
Comune di Padova,Padova,Italy,Europe,2012,206438,2017,Public,City-wide,,,253233,,2020,,4,"The city has the aim to produce 4% of its total energy consume using renewable sources, mainly photovoltaic and solar thermal energy. The calculation to estimate the renewable energy consume (in MWh) was done using the 4% objective and the energy consume of 2005.  CAUTION: The number supplied is in MWh and does not refelct the capacity but the energy consume.","(45.4064, 11.8768)",
City of Philadelphia,Philadelphia,USA,North America,2014,1560297,2016,Public,City-wide,Renewable energy,,,,2015,,20,The goal is to purchase and/or generate 20% of electricity from renewable sources. There is no breakdown between purchase and generation.Philadelphia will set a new renewable energy target in 2016.,"(39.952335, -75.163789)",
District of Columbia,District of Columbia,USA,North America,2015,672228,2016,Public,City-wide,Renewable electricity,,,,2020,,20,"In January 2005, the District of Columbia Council enacted a Renewable Portfolio Standard (RPS) that applies to all retail electricity sales in the District.  Suppliers must meet the RPS by obtaining renewable energy credits (RECs) that equal the percentage requirement for electricity sold or by paying specified compliance fees. By 2023, suppliers must meet a 2.5% requirement for solar (thermal or pv) located within the District.","(38.9071923, -77.0368707)",
City of Vancouver,Vancouver,Canada,North America,2011,603500,2016,Public,City-wide,Renewable electricity,,,,Other: Current and ongoing,,93,"The City is subject to BC Hydro generation planning and does not itself generate any electricity. BC Hydro, a Provincial Crown Utility, is required under the BC Clean Energy Act to be at least 93% renewable. Data are supplied by BC Hydro, not by City of Vancouver. A breakdown of generation sources that supply only the City is not available; hence Province-wide data is provided here.","(49.261226, -123.1139268)",
Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,South and West Asia,2015,30000,2016,Public,City-wide,Renewable electricity,,,,2030,10,40,plan to use of solar energy.,"(31.323126, 34.344025)",
City of Minneapolis,Minneapolis,USA,North America,2014,407207,2015,Public,City-wide,Renewable electricity,,,,2025,360242,10,"This goal is above and beyond the regular grid mix - needs to be from customer-sited renewables in the city, or directly purchased programs like solar gardens or wind purchase programs.","(44.983334, -93.26667)",46
Ayuntamiento de San Luis Potosí,San Luis Potosí,Mexico,Latin America,2015,824229,2015,Public,City-wide,Renewable electricity,,,,2014,200,3,"3.3% of the total national energy, however it is estimated that it will grow more than double by 2026, and one TMCA of 6.5%. There are two wind parks in operational process.","(22.173333, -100.97005)",
"City of Lake Forest, IL","Lake Forest, IL",USA,North America,2010,19375,2017,Public,City-wide,Renewable energy,,,,2015,,20,We currently buy 100% renewable energy but will end this in 2016.,"(42.258634, -87.840625)",42
City of Warsaw,Warsaw,Poland,Europe,2016,1626514,2017,Public,City-wide,Other,,,,2020,,20,"It is planned that energy mix will contain higher percentage of renewables. Individual PV installations, solar panels and heat pumps will be developed.","(52.2296756, 21.0122287)",32
City of Palo Alto,Palo Alto,USA,North America,2015,66955,2017,Public,City-wide,All renewable energy consumed (in MWh),2011,207974,22,2020,33,33,Renewable portfolio to be composed of 50% renewable resources and 50% hydro.,"(37.4419, -122.143)",
City of San José,San José,USA,North America,2016,1042094,2017,Public,City-wide,,,,,2022,,100,http://www.sanjoseca.gov/index.aspx?NID=2948,"(37.3382, -121.8863)",
City of Boulder,Boulder,USA,North America,2015,104810,2016,Public,City-wide,Renewable electricity,,,,2020,36,20,The city is currently pursuing the municipalization of its electric utility.  If acquired the city would evolve its resource portfolio to be 80% or more renewable energy by 2050.21 MW nameplate hydro15 MW permitted solar,"(40.0274, -105.2519)",46
City of Chicago,Chicago,USA,North America,2013,2719000,2015,Public,City-wide,Renewable energy,,,,2015,,9,This goal is in line with Implementation of the State of Illinois Renewable Portfolio Standard.,"(41.8781136, -87.6297982)",42
Inje County,Inje ,South Korea,East Asia,2015,33255,2015,Public,City-wide,Renewable electricity,,,,2035,32,2,,"(38.069468, 128.170699)",85
City of Los Angeles,Los Angeles,USA,North America,2014,3928864,2017,Public,City-wide,All renewable energy consumed (in MWh),2016,,25,2036,,65,https://www.ladwp.com/cs/idcplg?IdcService=GET_FILE&dDocName=OPLADWPCCB562207&RevisionSelectionMethod=LatestReleased,"(34.0522342, -118.2436849)",
Town of Blacksburg,Blacksburg,USA,North America,2014,43985,2016,Public,City-wide,Renewable electricity,,,,2050,75,90,"Although not formally adopted, our general target is to reach net zero energy for buildings by 2050 by combining conservation, efficiency, and renewables.  75 megawatts of solar would address roughly 70% of our anticipated energy consumption needs, therefore the remaining 30% will have to come from a combination of significant efficiency improvements, other renewables such a geothermal, and conservation behaviors.  Existing federal and state policies (and utility business models) will not allow us to get anywhere near this target.","(37.2296, -80.4139)",46
City of Aspen,Aspen,USA,North America,2010,8427,2016,Public,City-wide,Renewable electricity,,,,2015,72400,100,"The City of Aspen will move to all renewable energy sources by the end of 2015. Aspen will purchase all of its electricity by the following sources: hydro, wind, and a small percentage (1%) by LFG.","(39.195, -106.837)",59
District of Columbia,District of Columbia,USA,North America,2015,672228,2017,Public,City-wide,All renewable electricity consumed (in MWh),2012,6,0.5,2032,241884,5,"In 2005, the District enacted the Renewable Portfolio Standard, which requires electricity providers to source a portion of their energy from renewables. The RPS standard, which was updated in 2008, 2011, and 2016 currently requires utility providers to source 50% of their energy from Tier 1 renewable sources and 5% from locally generated solar energy by 2032. The 2016 amendment, known as the Renewable Portfolio Standard Expansion Amendment Act of 2016 also created a funding mechanism for the Solar for All program, which establishes a goal of putting solar on 100,000 low income households in the District.","(38.9071923, -77.0368707)",
Município de Ovar,Ovar,Portugal,Europe,2011,55398,2016,Public,City-wide,Renewable electricity,,,,2030,2,99,,"(40.89008, -8.59723)",
City of Cambridge,Cambridge,USA,North America,2014,109694,2017,Public,City-wide,All renewable electricity consumed (in MWh),2000,,,2020,,20,,"(45.601, -93.327333)",46
"City of Portland, OR","Portland, OR",USA,North America,2014,619360,2017,Public,City-wide,All renewable energy produced (in MWh),2009,,,2030,,50,"Supply 50 percent of all energy used in buildings from renewable resources, primarily through, solar, biomass, micro hydro, geothermal, and clean district energy.","(45.52, -122.6819)",37
Vilnius City Municipality,Vilnius ,Lithuania,Europe,2015,542626,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2013,1600044,16.2,2020,,36,By 2020 Vilnius plans to have 36.4 from renewables.,"(54.687156, 25.279651)",25
City of Lisbon,Lisbon,Portugal,Europe,2011,547773,2016,Public,City-wide,Renewable electricity,,,,2020,1623,17,"The target is based on the evaluation of Solar Potential Chart developed by the Energy Agency , Lisboa E- Nova, for all buildings of Lisbon. Only good sun exposure areas were considered.","(38.7222524, -9.1393366)",80
City of Porto,Porto,Portugal,Europe,2011,238954,2017,Public,City-wide,All renewable energy produced (in MWh),2004,26,,2020,,15,Energy Recovery from municipal solid waste,"(41.1579438, -8.6291053)",63
Inje County,Inje ,South Korea,East Asia,2015,33255,2016,Public,City-wide,Renewable electricity,,,,2025,189,37,"Following the establishment of 2045 plan for energy independence, local proliferation of photovoltaic, solar, thermal, and hydroelectric power stations","(38.069468, 128.170699)",85
Basel-Stadt,Basel-Stadt,Switzerland,Europe,2015,197005,2016,Public,City-wide,Renewable electricity,,,,2013,,100,Since 2010 the whole electricity consumed in Basel-City is renewable. http://www.iwb.ch/media/Strom/Dokumente/stromkennzeichnung_2012.pdf,"(47.5619, 7.5928)",38
Suwon city,Suwon ,South Korea,East Asia,2015,1221973,2016,Public,City-wide,Renewable electricity,,,,2016,10,1,"·Spreading photovoltaic power sources on public and private offices, supermarkets, and shopping malls ·Installing Solar Power Stations (RPS)·Operating public services such as Solar Power Co-op Centers that benefit low-income areas","(37.2635727, 127.0286009)",
City of Edmonton,Edmonton,Canada,North America,2014,878000,2017,Public,City-wide,All renewable energy consumed (in MWh),2015,7668636,0,2035,0,10,"The objective in the Community Energy Transition Strategy is to generate 10% of Edmonton's electricity locally by 2035. Though it is hoped that the supply will be from renewable resources It is an electricity generation resilience strategy for the city, not specifically a renewable energy use target. This is a moving target from the baseline as the objective is to generate 10% of the 2035 consumption level locally, not just 10% of the 2015 baseline consumption level by 2035. Column seven in this question is note working properly.","(53.544389, -113.4909267)",21
New Taipei City Government,New Taipei ,Taiwan,East Asia,2014,3966818,2015,Public,City-wide,Renewable electricity,,,,2026,,15,"1.	Develop solar PV (photovoltaic) system and other renewable energy by establishing the green industry association.2.	The green industry association aims to enhance competitiveness of green energy business of New Taipei City","(25.0111, 121.4458)",
Gemeente Rotterdam,Rotterdam,Netherlands,Europe,2014,624000,2017,Public,City-wide,,,,,2018,,,20GWh of sun energy production,"(51.9163716, 4.4509382)",
City of Toronto,Toronto,Canada,North America,2011,2753100,2017,Public,City-wide,Renewable electricity,2007,,,2020,550,,"Renewable electricity generation will increase by 550 MW by 2020 and by 1000 MW in 2050 through Ontario's Feed In Tariff program to install solar PV, wind and bio-energy.","(43.653226, -79.3831843)",42
City of Zaragoza,Zaragoza,Spain,Europe,2015,7000463,2017,Public,City-wide,Renewable energy,,800,,2020,,34,NO están disponibles de momento los datos de 2014,"(41.608629, -0.887012)",62
"City of Northampton, MA","Northampton, MA",USA,North America,2010,28549,2016,Public,City-wide,Renewable energy,,,,2016,,25,,"(42.304845, -72.614446)",254
Ville de Lausanne,Lausanne,Switzerland,Europe,2015,140000,2016,Public,City-wide,Renewable energy,,,,2020,,20,"see SEAP. We work with energy, not power","(46.5198, 6.6335)",49
City of Porto,Porto,Portugal,Europe,2011,238954,2017,Public,City-wide,All renewable energy produced (in MWh),2004,11,,2020,,35,Cogeneration plant using biomass. This number corresponds to the renewable heat production,"(41.1579438, -8.6291053)",63
Salt Lake City,Salt Lake City,USA,North America,2014,190884,2017,Public,City-wide,All renewable electricity consumed (in MWh),2015,100,5,2032,100,100,Collaborate with electric utility via existing Statement of Cooperation and joint plans to deliver 100% renewable electricity to all customers within City limits by 2032.,"(40.7608, -111.891)",
City of Boulder,Boulder,USA,North America,2015,104810,2017,Public,City-wide,Total installed capacity of renewable electricity (in MW),2005,8,,2050,175,,"Local generation will be the cornerstone of Boulder's efforts to decarbonize, decentralize and democratize its energy sources. Boulder's efforts will focus on removing restrictions and barriers to adoption and local incentives. Boulder is also looking at opportunities for larger-scale investment through regulatory changes at the state-level.  In 2017 Boulder has over 20 MW of local soar and 15 MW of hydroelectric capacity.  Boulder intends to achieve installed capacity of clean electricity generation of 50 MW by 2020, 100 MW by 2030 & 175 MW by 2050.","(40.0274, -105.2519)",46
Comune di Firenze,Firenze,Italy,Europe,2012,361679,2017,Public,City-wide,All renewable electricity produced (in MWh),2005,0,0,2030,105340,5,PV,"(43.7696, 11.2558)",
Greater Amman Municipality,Amman ,Jordan,South and West Asia,2015,3604459,2017,Public,City-wide,All renewable energy produced (in MWh),2007,1244410,1,2020,1600,10, The target is to produce 10% of Jordan's energy needs via wind and solar projects by 2020. Please note that this is on a national scale.,"(31.945367, 35.928372)",
Moscow Government,Moscow ,Russia,Europe,2015,12197596,2016,Public,City-wide,Renewable electricity,,,,2020,25,1,"Biogas CHP, Solar PV and Small Wind","(55.755826, 37.6173)",16
City of Cincinnati,Cincinnati,USA,North America,2013,297000,2017,Public,City-wide,,,,,2020,,,"As a region, Greater Cincinnati has a goal of doubling renewable energy production each year through 2020. In order to meet this goal, we are educating the public about the city's transition to renewable energy generation, lobbying the state of Ohio to strengthen the market for solar projects, identifying & promoting renewable energy financing tools, expanding the Solar Power Purchase Agreement to include more solar panels on municipal facilities, using Virtual Net Metering to allow for shared solar projects, and implementing anaerobic digestion or other technologies to convert biomass to energy.","(39.1031, -84.512)",46
District of Columbia,District of Columbia,USA,North America,2015,672228,2017,Public,City-wide,Other,2012,,,2032,,50,"Sustainable DC established a target to increase the District's use of renewabl energy to 50% of total energy supply. The draft Clean Energy DC plan identifies a number of policies and strategies to make progress towards this goal including  the District's Renewable Portfolio Standard, increasing the use of distributed enery resources including community solar, district energy, and electric vehicles.","(38.9071923, -77.0368707)",
City of Milwaukee,Milwaukee,USA,North America,2014,599642,2016,Public,City-wide,Renewable energy,,,,2025,,25,http://city.milwaukee.gov/Climate-Action.htm#.Vz34jscshcY,"(43.0389, -87.9065)",42
Comune di Firenze,Firenze,Italy,Europe,2012,361679,2017,Public,City-wide,All renewable energy consumed (in MWh),2005,0,0,2030,255894,5,"solar energy production for thermal and electric use, mini hydro in the river","(43.7696, 11.2558)",
City of Seattle,Seattle,USA,North America,2015,662400,2016,Public,City-wide,Renewable electricity,,,,2020,,,"City Light has contracts in place to meet the state's renewable portfolio standard's escalating requirements through 2019, measured in terms of renewable energy credits. One credit is created for every megawatt-hour of new, renewable energy produced. In 2020, City Light's target rises to 1,609,000 renewable energy credits. City Light has 836,000 renewable energy credits in place for 2020 and has eight years before that deadline to acquire the rest.","(47.6062, -122.3321)",
Ajuntament de Barcelona,Barcelona,Spain,Europe,2015,1604555,2017,Public,City-wide,Total installed capacity of renewable electricity (in MW),2015,12.4,0.11,2020,15.3,0.13,Incentive Programme for Generating Solar Energy and  Transition  to Energy Sovereignity Plan,"(41.382271, 2.177506)",
Napier City Council,Napier ,New Zealand,South Asia and Oceania,2016,56268,2016,Public,City-wide,Renewable electricity,,,,2020,,90,,"(-41.304797, 174.829824)",
City of Burlington,Burlington,USA,North America,2015,42284,2017,Public,City-wide,,,22,,2020,22,100,"100% renewable goal met in 2014! As part of a statewide goal of getting 90 percent of Vermont’s energy from renewable sources, Burlington - Vermont’s largest city – now obtains 100 percent of its electricity from wind, water, and biomass. This threshold was passed in September 2014 with the purchase of the 7.4-megawatt Winooski 1 hydroelectric project on the Winooski River at the city’s edge. http://www.bostonglobe.com/metro/2014/09/14/vermont-milestone-green-energy-efforts/fsLHJl4eoqv6QoFNewRYBK/story.htmlIn 1978 Burlington voters approved a bond that began their journey toward a renewable electric supply through construction of the J.C. McNeil Generating Station.  With the approval of Question #4 on the 2014 Town Meeting Day ballot authorizing BED to sell bonds to purchase the Winooski One Hydro plant, Burlington voters completed that journey.   When the acquisition of Winooski One is finalized this summer, BED will achieve the goal of sourcing 100% of its power supply from renewable resources, while many other utilities around the country are still talking about trying to get to 20 percent renewable by 2020. Even as BED has been achieving the goal of 100 percent renewable supply, it has simultaneously been successfully promoting its energy efficiency programs. Our city is perhaps the only one in the nation that can lay claim to using less electricity than it did in 1989, while experiencing robust economic growth.","(44.4758825, -73.212072)",42
City of Cambridge,Cambridge,USA,North America,2014,109694,2017,Public,City-wide,Total installed capacity of renewable electricity (in MW),2000,,,2030,,60,,"(45.601, -93.327333)",46
