Program Name,Project Year,Account Number,Account Name,Ticker,ISIN,Activities,Sectors,Industries,Primary activity,Primary sector,Primary industry,Primary questionnaire sector
Water,2015,45103,AbbVie Inc,ABBV US,US00287Y1091,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,628,"Altria Group, Inc.",MO US,US02209S1033,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,689,"American Electric Power Company, Inc.",AEP US,US0255371017,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,745,Anadarko Petroleum Corporation,APC US,US0325111070,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,17657,"Starwood Hotels & Resorts Worldwide, Inc",HOT US,US85590A4013,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,17929,Suncor Energy Inc.,SU CN,CA8672241079,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,17652,Starbucks Corporation,SBUX US,US8552441094,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,18125,Symantec Corporation,SYMC US,US8715031089,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,18320,Target Corporation,TGT US,US87612E1064,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,18155,Sysco Corporation,SYY US,US8718291078,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,21481,Teck Resources Limited,TECK/A CN,CA8787422044,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,18535,Tenet Healthcare Corporation,THC US,US88033G4073,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,661,Ameren Corporation,AEE US,US0236081024,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,716,"Amgen, Inc.",AMGN US,US0311621009,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,868,Applied Materials Inc.,AMAT US,US0382221051,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,1536,Barrick Gold Corporation,ABX CN,CA0679011084,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,14268,Pall Corporation,PLL US,US6964293079,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,14683,Pfizer Inc.,PFE US,US7170811035,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,635,Programmable Solutions Group (PSG),ALTR US,US0214411003,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,18859,The Hershey Company,HSY US,US4278661081,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,22360,The J.M. Smucker Company,SJM US,US8326964058,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,19845,Union Pacific Corporation,UNP US,US9078181081,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,1639,"Becton, Dickinson and Co.",BDX US,US0758871091,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,2611,Campbell Soup Company,CPB US,US1344291091,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,2667,Canadian Natural Resources Limited,CNQ CN,CA1363851017,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,1113,AT&T Inc.,T US,US00206R1023,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,1452,Bank of America,BAC US,US0605051046,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,35800,Bel Fuse Inc.,BELFA US,US0773472016,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,2095,Boston Scientific Corporation,BSX US,US1011371077,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,1857,Biogen Inc.,BIIB US,US09062X1037,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,2191,Bristol-Myers Squibb,BMY US,US1101221083,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,3329,"Cisco Systems, Inc.",CSCO US,US17275R1023,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,3732,Conagra Brands Inc,CAG US,US2058871029,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,3768,CNX Resources,CNX US,US20854P1093,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,4826,The Dow Chemical Company,DOW US,US2605431038,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,19016,Thermo Fisher Scientific Inc.,TMO US,US8835561023,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,3564,The Coca-Cola Company,KO US,US1912161007,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,14926,"PPG Industries, Inc.",PPG US,US6935061076,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,15541,Raytheon Company,RTN US,US7551115071,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,22865,Western Digital Corp,WDC US,US9581021055,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,4058,Crescent Point Energy Corporation,CPG CN,CA22576C1014,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,4136,Cummins Inc.,CMI US,US2310211063,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,2354,Brown-Forman Corporation,BF/B US,US1156372096,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,2407,Bunge,BG US,BMG169621056,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,2870,Carnival Corporation,CCL US,PA1436583006,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,2924,Catalyst Paper Corporation,CYT CN,CA14888T1049,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,2982,Celgene Corporation,CELG US,US1510201049,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,29789,Cenovus Energy Inc.,CVE CN,CA15135U1093,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,3795,"Constellation Brands, Inc.",STZ US,US21036P1084,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,4365,Deere & Company,DE US,US2441991054,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,4832,Dominion Energy,D US,US25746U1097,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,5021,DTE Energy Company,DTE US,US2333311072,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,36602,Edwards Lifesciences Corp,EW US,US28176E1082,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,6323,Fidelity National Information Services,FIS US,US31620M1062,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,17673,"Stanley Black & Decker, Inc.",SWK US,US8545021011,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,17659,"Staples, Inc.",SPLS US,US8550301027,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,285,3M Company,MMM US,US88579Y1010,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,334,"Advanced Micro Devices, Inc",AMD US,US0079031078,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,454,Akamai Technologies Inc,AKAM US,US00971T1016,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,533,Allergan plc,AGN UN,IE00BY9D5467,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,804,Apache Corporation,APA US,US0374111054,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,1227,Avery Dennison Corporation,AVY US,US0536111091,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,1356,"Baker Hughes, a GE Company",BHGE UN,US05722G1004,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,22901,Bemis Company,BMS US,US0814371052,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,1693,"Best Buy Co., Inc.",BBY US,US0865161014,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,18640,Texas Instruments Incorporated,TXN US,US8825081040,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,18633,Textron Inc.,TXT US,US8832031012,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,4322,"Darden Restaurants, Inc.",DRI US,US2371941053,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,5569,Encana Corporation,ECA CN,CA2925051047,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,5624,Enerplus Corporation,ERF CN,CA2927661025,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,5653,Entergy Corporation,ETR US,US29364G1031,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,5767,"EOG Resources, Inc.",EOG US,US26875P1012,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,22859,Xilinx Inc,XLNX US,US9839191015,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,20699,"Whole Foods Market, Inc.",WFM US,US9668371068,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,36718,Xylem Inc,XYL US,US98419M1009,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,6595,Ford Motor Company,F US,US3453708600,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,20021,Unum Group,UNM US,US91529Y1064,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,19898,UPS,UPS US,US9113121068,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,22874,Varian Medical Systems Inc,VAR US,US92220P1057,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,20515,"Waste Management, Inc.",WM US,US94106L1098,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,20822,Xerox Corporation,XRX UN,US9841216081,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
Water,2015,5395,EMC Corporation,EMC US,US2686481027,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year,No Data Values Reported For this Year
